Feature,Importance
worst area,0.14001598566310833
worst concave points,0.12952961280106504
worst radius,0.09769573685350633
mean concave points,0.0908847484687512
worst perimeter,0.07222637006988931
mean perimeter,0.0695738754013612
mean radius,0.06867599362483164
mean concavity,0.05763806222702219
mean area,0.04917214870032646
worst concavity,0.03434012642032042
area error,0.03310445959672674
worst compactness,0.018600021740935
worst texture,0.018596652281391013
radius error,0.016770206345378243
worst smoothness,0.012436195169428612
mean compactness,0.011714647851926692
perimeter error,0.009633098144080891
mean texture,0.009584312264677012
worst symmetry,0.008334518624728435
compactness error,0.005979218921945563
mean smoothness,0.005598164672763559
texture error,0.005213863048233065
worst fractal dimension,0.005166324336806241
mean symmetry,0.004666012031817817
mean fractal dimension,0.004488865467489473
fractal dimension error,0.0044416884428086665
concavity error,0.004310347849152097
concave points error,0.004098238018028098
symmetry error,0.004011980301326399
smoothness error,0.0034985246601742215
